gm1,gm3_a0,gm3_0a,gm5_a00,gm5_0a0,gm5_00a,frequency
0,-0.005,0.0,0.0012,-0.01,0.005,0.0,8980.356894915027
1,-0.005,0.0,0.0012,-0.01,0.005,0.005,9019.722761672841
2,-0.005,0.0,0.0012,-0.01,0.005,0.01,9051.588584386569
3,-0.005,0.0,0.0012,-0.01,0.005,-0.01,8873.081591185295
4,-0.005,0.0,0.0012,-0.01,0.005,-0.005,8936.478068504808
5,-0.005,0.0,0.0012,-0.01,0.01,0.005,8781.042143056226
6,-0.005,0.0,0.0012,-0.01,0.01,0.0,8725.389241483263
7,-0.005,0.0,0.0012,-0.01,0.01,0.01,8832.47854692529
8,-0.005,0.0,0.0012,-0.01,0.01,-0.01,8560.335472570561
9,-0.005,0.0,0.0012,-0.01,0.01,-0.005,8655.241797736704
10,-0.005,0.0,0.0012,-0.01,0.0,-0.01,9058.976367609026
11,-0.005,0.0,0.0012,-0.01,0.0,0.0,9079.698699227209
12,-0.005,0.0,0.0012,-0.01,0.0,0.005,9071.731748518321
13,-0.005,0.0,0.0012,-0.01,0.0,-0.005,9071.746035369797
14,-0.005,0.0,0.0012,-0.01,0.0,0.01,9058.904222332176
15,-0.005,0.0,0.0012,-0.01,-0.01,0.0,8725.16300443356
16,-0.005,0.0,0.0012,-0.01,-0.01,-0.01,8832.320283180625
17,-0.005,0.0,0.0012,-0.01,-0.01,-0.005,8780.873096053969
18,-0.005,0.0,0.0012,-0.01,-0.01,0.01,8560.035333570682
19,-0.005,0.0,0.0012,-0.01,-0.01,0.005,8654.967164869777
20,-0.005,0.0,0.0012,-0.01,-0.005,0.01,8872.852882255685
21,-0.005,0.0,0.0012,-0.01,-0.005,0.0,8980.271038261264
22,-0.005,0.0,0.0012,-0.01,-0.005,0.005,8936.30450685684
23,-0.005,0.0,0.0012,-0.01,-0.005,-0.01,9051.481457247077
24,-0.005,0.0,0.0012,-0.01,-0.005,-0.005,9019.620951739224
25,-0.005,0.0,0.0012,-0.005,0.005,0.0,9170.019925968842
26,-0.005,0.0,0.0012,-0.005,0.005,0.005,9192.6599162896
27,-0.005,0.0,0.0012,-0.005,0.005,-0.01,9105.046247573957
28,-0.005,0.0,0.0012,-0.005,0.005,0.01,9217.529727473087
29,-0.005,0.0,0.0012,-0.005,0.005,-0.005,9141.970066322501
30,-0.005,0.0,0.0012,-0.005,0.01,-0.005,8845.220608235088
