,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,-198.285182,-198.224047,-198.045335,-197.745862,-197.335673,-196.928191,-196.296926,-195.492182,-194.590904,-193.554898,-192.374272,-191.037448,-189.548619,-187.877407,-186.036787,-183.986625,-181.720084,-179.243951,-176.530037,-173.553331,-170.231286,-166.673852,-162.785155,-158.534871,-153.921668,-149.208597,-145.175706,-141.012383,-136.773273,-132.437305,-127.990981,-123.537739,-119.091639,-114.645108,-110.292297,-106.049393,-101.90865,-97.956881,-94.250711,-90.846963,-87.824495,-85.438854,-83.354842,-81.635807,-80.677863,-80.326709
1,-190.066591,-190.007845,-189.832871,-189.543042,-189.156532,-188.644316,-188.061397,-187.382207,-186.513824,-185.513939,-184.37724,-183.092368,-181.649291,-180.047067,-178.269637,-176.283373,-174.103826,-171.689646,-169.040303,-166.144285,-162.958726,-159.48455,-155.68637,-151.552011,-147.035063,-142.881966,-139.002542,-135.001332,-130.913669,-126.745911,-122.461672,-118.183788,-113.882286,-109.594445,-105.400946,-101.266918,-97.320884,-93.504838,-89.920382,-86.636857,-83.708979,-81.205358,-79.238201,-77.745113,-76.846026,-76.454852
2,-181.831947,-181.776529,-181.610115,-181.331717,-180.952312,-180.459318,-180.011416,-179.262279,-178.415571,-177.453891,-176.356923,-175.120657,-173.727341,-172.183388,-170.472361,-168.56273,-166.430113,-164.105324,-161.519205,-158.711452,-155.602823,-152.146171,-148.55694,-144.503426,-140.114146,-136.491166,-132.769568,-128.920034,-124.971018,-120.919895,-116.837372,-112.71286,-108.539341,-104.452889,-100.392643,-96.409689,-92.543724,-88.858859,-85.398609,-82.287302,-79.498031,-77.075643,-75.153577,-73.681304,-72.785373,-72.467946
3,-173.57256,-173.518487,-173.355472,-173.087046,-172.722575,-172.251136,-171.82239,-171.134377,-170.332024,-169.404953,-168.346419,-167.150657,-165.802235,-164.301834,-162.627099,-160.860357,-158.712191,-156.453034,-153.968662,-151.195365,-148.122447,-144.924484,-141.213805,-137.36145,-133.50069,-130.034675,-126.443696,-122.737925,-118.951952,-115.022368,-111.106695,-107.101411,-103.099862,-99.160248,-95.242505,-91.393891,-87.665762,-84.097686,-80.752481,-77.733707,-74.990033,-72.708264,-70.804996,-69.388416,-68.524234,-68.25056
4,-165.290748,-165.244683,-165.09144,-164.836607,-164.471806,-164.033825,-163.481683,-162.955068,-162.144778,-161.255758,-160.245586,-159.094341,-157.786453,-156.334491,-154.724962,-152.941043,-150.852081,-148.735094,-146.335539,-143.637364,-140.737556,-137.423006,-134.010106,-130.021416,-126.732684,-123.410522,-119.949953,-116.397268,-112.817852,-109.039426,-105.211195,-101.387611,-97.572431,-93.721791,-89.931426,-86.216105,-82.603814,-79.206613,-75.972362,-72.985894,-70.316956,-68.027156,-66.147716,-64.850286,-64.023444,-63.734405
5,-156.929734,-156.883166,-156.73594,-156.477357,-156.13255,-155.692723,-155.174329,-154.579329,-153.899879,-153.040246,-152.058719,-150.949261,-149.706399,-148.306739,-146.74795,-145.01716,-143.079182,-140.856909,-138.503022,-135.899702,-133.050885,-129.913787,-126.461888,-123.005953,-119.916588,-116.712942,-113.397863,-109.977229,-106.492671,-102.904677,-99.218949,-95.56045,-91.847114,-88.123,-84.427427,-80.834472,-77.393755,-74.056992,-70.879728,-67.963274,-65.348282,-63.083144,-61.266175,-59.942786,-59.115143,-58.748461
6,-148.476934,-148.432525,-148.283674,-148.050641,-147.720415,-147.31007,-146.797141,-146.346705,-145.567182,-144.740059,-143.806184,-142.736913,-141.534098,-140.187824,-138.671979,-136.994512,-135.034423,-133.046133,-130.6692,-128.131576,-125.353834,-122.281799,-118.901962,-115.924174,-112.961199,-109.879981,-106.692147,-103.430429,-100.008184,-96.545984,-93.054756,-89.467478,-85.890477,-82.296673,-78.768635,-75.265928,-71.880351,-68.598767,-65.498641,-62.637787,-60.045106,-57.826826,-56.050099,-54.594594,-53.762071,-53.450661
7,-139.940842,-139.899171,-139.752121,-139.52123,-139.20229,-138.807181,-138.318497,-137.725939,-137.048222,-136.339945,-135.443158,-134.408741,-133.245032,-131.943081,-130.488017,-128.85595,-127.055241,-124.931619,-122.697066,-120.221048,-117.491702,-114.494494,-111.426115,-108.691899,-105.836086,-102.870614,-99.796426,-96.613787,-93.353759,-90.039686,-86.6315,-83.168135,-79.717484,-76.257388,-72.74299,-69.315698,-65.962304,-62.764889,-59.689308,-56.843868,-54.193868,-51.979735,-50.159767,-48.807356,-47.963145,-47.670729
8,-131.409188,-131.378079,-131.106212,-130.879643,-130.562865,-130.175622,-129.7118,-129.136759,-128.498717,-127.810791,-126.943592,-125.947873,-124.815605,-123.55817,-122.137975,-120.56028,-118.808544,-116.730408,-114.548584,-112.133572,-109.457671,-106.507567,-103.88641,-101.257558,-98.50363,-95.652392,-92.672458,-89.607046,-86.470568,-83.225036,-79.991517,-76.635592,-73.226047,-69.769678,-66.360912,-62.963396,-59.609939,-56.325584,-53.26328,-50.414412,-47.800823,-45.521862,-43.642937,-42.241474,-41.368177,-41.055335
9,-122.503903,-122.480187,-122.37492,-122.193768,-121.870216,-121.404913,-120.941576,-120.417669,-119.921829,-119.113316,-118.273495,-117.307352,-116.211458,-114.983529,-113.454794,-112.069616,-110.353066,-108.458258,-106.469003,-103.814167,-101.182782,-98.527956,-96.105847,-93.564594,-90.916653,-88.136508,-85.299309,-82.398051,-79.361716,-76.156719,-72.915297,-69.601276,-66.24368,-62.856902,-59.343834,-55.924392,-52.576873,-49.299187,-46.197375,-43.225713,-40.481332,-38.050184,-36.046475,-34.508973,-33.554838,-33.210096
