,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,-80.339701,-80.2758,-80.285017,-79.95773,-79.487716,-78.858122,-78.048353,-77.122803,-75.786311,-74.49257,-72.981024,-71.242244,-69.283482,-67.034608,-64.470329,-61.554578,-58.235247,-54.399966,-49.922674,-44.526599,-37.997428,-29.51089,-17.550524,19.108163,32.296081,42.227119,51.080611,58.337698,65.065468,71.399709,77.398463,83.079114,88.388534,93.285897,97.590619,100.921695
1,-76.46774,-76.434015,-76.20458,-75.859644,-75.311957,-74.663074,-74.154093,-73.213659,-72.070025,-70.76774,-69.204238,-67.236936,-65.219356,-62.914433,-60.304092,-57.294135,-53.857493,-49.849012,-45.116753,-39.385565,-32.029717,-21.852236,9.839529,26.642912,36.9653,45.594739,53.590109,60.306123,66.597781,72.582595,78.283704,83.711971,88.779359,93.479589,97.621457,100.92974
2,-72.482209,-72.438608,-72.20898,-71.751445,-71.253192,-70.59514,-69.779297,-68.805499,-67.671719,-66.276449,-64.700225,-62.919924,-60.844041,-58.556641,-55.839277,-52.727438,-49.124725,-44.875752,-39.779657,-33.445474,-24.91459,-9.766856,21.26664,32.555052,41.052075,48.658906,55.945775,62.169574,68.063842,73.700988,79.110368,84.273207,89.131856,93.653837,97.623648,100.817588
3,-68.265966,-68.176642,-67.870057,-67.522758,-66.956319,-66.300816,-65.476928,-64.464834,-63.270599,-61.8671,-60.243762,-58.377223,-56.264681,-53.799491,-50.965923,-47.786861,-43.925537,-39.331009,-33.665584,-26.253823,-14.719795,16.60339,28.598833,37.273978,44.708593,52.049819,58.171273,63.941692,69.460931,74.756496,79.901446,84.814568,89.455915,93.785404,97.653565,100.676029
4,-63.750483,-63.607613,-63.388725,-62.966805,-62.470447,-61.722531,-60.868782,-59.834479,-58.598147,-57.145775,-55.459853,-53.509982,-51.287628,-48.709079,-45.699563,-42.135449,-38.074666,-32.911247,-26.234697,-16.292598,14.214082,25.605348,34.310688,42.22563,48.102376,54.659279,60.272238,65.629796,70.79726,75.805896,80.657671,85.327881,89.751586,93.892234,97.592793,100.497607
5,-58.767043,-58.758936,-58.544067,-58.162867,-57.598929,-56.868274,-55.984982,-54.834329,-53.546887,-52.022208,-50.249029,-48.190469,-45.815865,-43.039869,-39.787587,-35.864243,-31.188044,-24.955097,-15.764242,12.998992,24.546592,32.204212,39.105479,45.916815,51.730084,57.156083,62.287576,67.247791,72.078792,76.789449,81.375001,85.819964,90.027734,93.966508,97.50569,100.229078
6,-53.46847,-53.418018,-53.272609,-52.872937,-52.303805,-51.558225,-50.588149,-49.444725,-47.984027,-46.356135,-44.457476,-42.238429,-39.662083,-36.558486,-32.840746,-28.230041,-22.12655,-12.881236,14.217563,24.214327,31.630779,37.62878,43.778561,49.275089,54.524892,59.478806,64.227905,68.805003,73.307214,77.731037,82.073624,86.267289,90.26091,94.013176,97.389527,99.993729
7,-47.690189,-47.597626,-47.343696,-47.018258,-46.407676,-45.614892,-44.609176,-43.345573,-41.781492,-39.904458,-37.826086,-35.311466,-32.321201,-28.658525,-24.014473,-17.572564,-5.987087,17.355528,25.204392,31.669487,37.144294,42.326837,47.593725,52.443111,57.106681,61.625762,66.045393,70.315115,74.54087,78.631289,82.718797,86.67812,90.464308,94.030094,97.244419,99.721034
8,-41.085226,-40.981923,-40.710613,-40.23744,-39.712528,-38.801365,-37.676002,-36.284032,-34.596411,-32.544673,-29.922739,-26.697256,-22.814869,-17.645161,-9.241012,13.490008,21.334052,27.368986,32.721216,37.583357,42.111419,46.638425,51.073152,55.407161,59.58875,63.698255,67.751744,71.727413,75.650103,79.542244,83.314781,87.058924,90.651763,94.011643,97.059789,99.423556
9,-33.25016,-33.124963,-32.799227,-32.246248,-31.450919,-30.387734,-29.198825,-27.509489,-25.353857,-22.672506,-19.168441,-14.274416,-5.67815,14.185835,20.503341,25.671734,30.327514,34.669575,38.780075,42.718122,45.970416,50.429534,54.323294,58.144666,61.94512,65.694182,69.399464,73.057283,76.739951,80.357112,83.930086,87.434738,90.789211,93.954802,96.847311,99.089372
