,strain directions varied from [001] to [011] (angle),e1 irrep magnitudes for strain between [001] and [111],e2 irrep magnitudes for strain between [001] and [111],e3 irrep magnitudes for strain between [001] and [111],e4 irrep magnitudes for strain between [001] and [111],e5 irrep magnitudes for strain between [001] and [111],e6 irrep magnitudes for strain between [001] and [111]
0,0,-0.011400278351483934,-0.0007268097595717304,4.599880250050122e-19,-0.04248541879158673,-0.04428000869716739,-0.04428000869716739
1,1,-0.011410045721141465,-0.0017576394896745336,4.599880250050122e-19,-0.04082648207821239,-0.044998780992846286,-0.044998780992846286
2,2,-0.011427359666727505,-0.002816825251131422,-1.5762256323505085e-16,-0.039139461784702394,-0.04566308279475704,-0.04566308279475704
3,3,-0.011437932162768349,-0.003886474934541001,-3.066586833366748e-19,-0.037401053447670814,-0.04629596802350772,-0.04629596802350772
4,4,-0.011465088840333044,-0.005000906225541429,1.570092458683775e-16,-0.035670090064689255,-0.046847353508515564,-0.046847353508515564
5,5,-0.011508654685759519,-0.006151580797751396,-6.133173666733496e-19,-0.0339409996057185,-0.047320195682013406,-0.047320195682013406
6,6,-0.01155303166622953,-0.0073268885249685375,-6.133173666733496e-19,-0.032203316923372784,-0.04773252101186832,-0.04773252101186832
7,7,-0.011606063915738908,-0.008528349834353157,0.0,-0.03046570590496798,-0.04807360380412063,-0.04807360380412063
8,8,-0.01166884500081917,-0.009746849534863718,0.0,-0.028716270973736933,-0.04834864820526176,-0.04834864820526176
9,9,-0.011739935085424622,-0.010992762018945178,0.0,-0.026988468917128007,-0.048542889770484564,-0.048542889770484564
10,10,-0.011820441920413951,-0.012258436749594101,0.0,-0.0252755151833826,-0.04865959882066875,-0.04865959882066875
11,11,-0.011910764696846031,-0.013540845780002803,0.0,-0.023581413103151868,-0.04869755173150141,-0.04869755173150141
12,12,-0.01201080686501322,-0.01483760261519009,0.0,-0.021912259576567745,-0.048655189235083794,-0.048655189235083794
13,13,-0.012120726796414641,-0.016145504386286872,0.0,-0.02027246845264622,-0.04853182778428476,-0.04853182778428476
14,14,-0.012244501308384838,-0.017474435232590735,0.0,-0.018709618081379976,-0.04830502519294024,-0.04830502519294024
15,15,-0.012373520127167139,-0.018781545862475296,0.0,-0.017100714902970045,-0.048037880792349476,-0.048037880792349476
16,16,-0.01251603798252501,-0.020103185689553882,3.14018491736755e-16,-0.015579102935270466,-0.04766718207024727,-0.04766718207024727
17,17,-0.012663155488424456,-0.021424889043401545,0.0,-0.014109708062029233,-0.04721737511512798,-0.04721737511512798
18,18,-0.012832851344448686,-0.022737587413333486,3.14018491736755e-16,-0.012693071138643876,-0.046678692716410695,-0.046678692716401175
19,19,-0.013007844011625466,-0.024042621940986796,0.0,-0.011336866702399067,-0.046062680836063866,-0.046062680836063866
20,20,-0.013193382381009564,-0.025334572044581973,3.14018491736755e-16,-0.010043458207595708,-0.04536796155225467,-0.04536796155225467
21,21,-0.01338970701808198,-0.02660980657213147,0.0,-0.008817361061793238,-0.04459593629938216,-0.04459593629938216
22,22,-0.013596005015442284,-0.027864972858380174,0.0,-0.007662503381827668,-0.04374913030115956,-0.04374913030115956
23,23,-0.013817074932229736,-0.029107778147744744,0.0,-0.0066522411894852805,-0.04280171496026779,-0.04280171496026779
24,24,-0.014042221082556653,-0.030311133524766647,0.0,-0.005647579412376304,-0.04181508773478824,-0.04181508773478824
25,25,-0.014271442416792568,-0.031473962425721626,-3.14018491736755e-16,-0.004647348462051375,-0.04079108285594882,-0.04079108285594882
26,26,-0.014513141789587318,-0.032614003724893474,0.0,-0.0037975312094504833,-0.03967809184188107,-0.03967809184188107
27,27,-0.014761743503547637,-0.033717687003071824,0.0,-0.0030264523435940224,-0.03850851887578629,-0.03850851887578629
28,28,-0.015015920663472883,-0.0347827085989899,0.0,-0.002334320267621853,-0.03728690635450803,-0.03728690635450803
29,29,-0.015274732659597263,-0.035806716621221535,0.0,-0.001719769238150559,-0.03601801561878142,-0.03601801561878142
30,30,-0.01553728019182842,-0.03678762631948312,3.14018491736755e-16,-0.0011808409119003099,-0.03470664397402956,-0.03470664397402956
31,31,-0.015802635730495174,-0.03772370214650651,0.0,-0.000715378916640121,-0.0333575089297158,-0.0333575089297158
32,32,-0.01606854228312748,-0.03861424565534228,3.14018491736755e-16,-0.0003208799640896186,-0.03197582458949407,-0.03197582458949407
33,33,-0.01633401528804513,-0.03945805531134896,0.0,7.497757324499925e-06,-0.03056658920109873,-0.03056658920109873
34,34,-0.01659786885427391,-0.04025455142887884,0.0,0.00027297775561709004,-0.02913417965899797,-0.02913417965899797
35,35,-0.016859695424049168,-0.041002854593728905,0.0,0.0004810070213165042,-0.027682940232009564,-0.027682940232009564
36,36,-0.01711608488195609,-0.041704296503783995,0.0,0.0006354741050352238,-0.02621763173223762,-0.02621763173223762
37,37,-0.0173660953823996,-0.04235899149805786,0.0,0.0007418251337039208,-0.024742045205607657,-0.024742045205607657
38,38,-0.017609097846911257,-0.04296709136485169,0.0,0.0008062488175732627,-0.023259661480163587,-0.023259661480163587
39,39,-0.01784321529370438,-0.0435298545893226,0.0,0.0008332080078521887,-0.021773643735785334,-0.021773643735785334
40,40,-0.018067509837423192,-0.044048089650939384,3.14018491736755e-16,0.000828949725221483,-0.02028681228998039,-0.02028681228998039
41,41,-0.01828109718364351,-0.04452281897328335,3.14018491736755e-16,0.0007979274572899415,-0.018801284506823626,-0.018801284506823626
42,42,-0.01848270155553388,-0.04495539776195924,0.0,0.0007463819284626389,-0.01731921949165994,-0.01731921949165994
43,43,-0.0186591676215702,-0.04535684677620452,0.0,0.0006110239471349637,-0.015835550841151146,-0.015835550841151146
44,44,-0.01883680153668638,-0.045706872894149306,0.0,0.0005411521554732938,-0.01436550117439705,-0.01436550117439705
45,45,-0.019006380225941668,-0.046013648924328375,0.0,0.0005088605380950019,-0.012905818304187595,-0.012905818304187595
46,46,-0.019137495709856723,-0.046299869698586016,0.0,0.0004605093636527016,-0.011454692061137348,-0.011454692061137348
47,47,-0.019274118029270447,-0.046536482322663365,3.14018491736755e-16,0.0003613456678585986,-0.010001745926500815,-0.010001745926500815
48,48,-0.01937942376614514,-0.04674918851703295,0.0,0.000207354055259897,-0.008553722474851621,-0.008553722474851621
49,49,-0.01948767486388554,-0.046913969193613604,0.0,0.0001291048062295293,-0.007115821719124234,-0.007115821719124234
50,50,-0.01957196007272955,-0.04705060535534913,-3.14018491736755e-16,0.00012450229005134947,-0.005687873136183479,-0.005687873136183479
51,51,-0.01963990179003088,-0.04715495185936674,0.0,-1.3542261867013381e-05,-0.004257986588186548,-0.004257986588186548
52,52,-0.019680576278983043,-0.04723447370215838,0.0,-7.17245998621364e-06,-0.0028377876456249216,-0.0028377876456249216
53,53,-0.01970556692420232,-0.047281688671889685,3.14018491736755e-16,-1.671057434894333e-06,-0.0014186413038768586,-0.0014186413038768586
54,54,-0.019714426243430654,-0.04729703908564766,0.0,0.0,-0.0,-0.0
