,order parameter model prediction with depth 6,order parameter model dft value with depth 6,strain model prediction with depth 6,strain model dft value with depth 6,structure metric model prediction with depth 6,order parameter model prediction with depth 10,order parameter model dft value with depth 10,strain model prediction with depth 10,strain model dft value with depth 10,structure metric model prediction with depth 10
0,-4298.4811961181995,-4576.685402649617,-8091.970522235619,-7701.9576655968,815.4273171533,-4685.57787054096,-4576.685402649617,-7750.249436321,-7701.9576655968,815.4273171533
1,-11384.717792406054,-11343.665429156026,-10672.979482990662,-11110.7499104818,6966.3424578859,-11359.769620128402,-11343.665429156026,-11025.5871678176,-11110.7499104818,6966.3424578859
2,-4298.4811961181995,-3905.5177843161637,-8904.02507271138,-9071.9980572794,2181.5588886799,-3854.6792188399695,-3905.5177843161637,-9057.2392500818,-9071.9980572794,2181.5588886799
3,4553.617164364443,4674.775509628901,2543.2529780421,2451.9454701971,-7030.5746415845,4674.7878166564005,4674.775509628901,2479.6660161,2451.9454701971,-7030.5746415845
4,4607.195338099019,4666.545329021689,-13212.62203021838,-13256.3222140266,-187.4135536686,4675.251119652865,4666.545329021689,-13137.2345751862,-13256.3222140266,-187.4135536686
5,3076.7011573509863,3249.6480083078563,-7235.477366383538,-6836.5325637889,868.5542229075,2732.6945485827614,3249.6480083078563,-7180.6871049342,-6836.5325637889,868.5542229075
6,-11400.245890100356,-11404.406531285056,-13264.318114452524,-13147.7418529416,-11254.9590949297,-11400.245890100356,-11404.406531285056,-13272.78441572,-13147.7418529416,-11254.9590949297
7,4553.617164364443,4876.825545769983,-8905.680604446172,-9070.3255963981,-7298.4602034127,4870.852704852645,4876.825545769983,-8918.7347315368,-9070.3255963981,-7298.4602034127
8,-11229.761509563701,-11209.505461002302,-9015.496975220733,-9073.7693576322,7705.8085640802,-11250.01141737704,-11209.505461002302,-9055.5828050023,-9073.7693576322,7705.8085640802
9,-3286.9699520417307,-3096.587607354081,-9019.088203026467,-8917.590922402,2182.6190831831,-3113.4569786896004,-3096.587607354081,-8923.8414041594,-8917.590922402,2182.6190831831
10,-796.5183849496583,-242.863050756096,-8077.335728984893,-8506.4105298816,9595.017069489,-181.151589140037,-242.863050756096,-8387.9514347776,-8506.4105298816,9595.017069489
11,-11243.467541717739,-11209.43452489669,-13199.43136896145,-13257.1466013405,23.6185988506,-11215.2823189729,-11209.43452489669,-13138.4273148344,-13257.1466013405,23.6185988506
12,3076.7011573509863,3554.706329764164,-11326.74753313675,-11259.991052741,-3229.2241665452,3248.717970120676,3554.706329764164,-11273.8271437584,-11259.991052741,-3229.2241665452
13,-4014.754671010393,-4033.072112899729,-8091.970522235619,-8396.2141378162,-11209.5188012502,-4045.264776940816,-4033.072112899729,-8388.564154701,-8396.2141378162,-11209.5188012502
