exx,eyy,ezz,exy,exz,eyz,frequency
0,0.01,0.0,-0.01,-0.01,-0.01,0.01,-11388.702496722497
1,0.01,0.0,-0.01,-0.01,-0.01,0.0,-11396.867022332102
2,0.01,0.0,-0.01,-0.01,-0.01,-0.01,-11384.635415223249
3,0.01,0.0,-0.01,-0.01,0.01,-0.01,-11388.59556567377
4,0.01,0.0,-0.01,-0.01,0.01,0.0,-11396.777133864722
5,0.01,0.0,-0.01,-0.01,0.01,0.01,-11384.55347068693
6,0.01,0.0,-0.01,-0.01,0.0,0.01,-11260.005484127929
7,0.01,0.0,-0.01,-0.01,0.0,-0.01,-11260.032436889998
8,0.01,0.0,-0.01,-0.01,0.0,0.0,-11269.016082206883
9,0.01,0.0,-0.01,0.01,0.01,-0.01,-11384.546855385664
10,0.01,0.0,-0.01,0.01,0.01,0.01,-11388.635478002501
11,0.01,0.0,-0.01,0.01,0.01,0.0,-11396.778414933025
12,0.01,0.0,-0.01,0.01,-0.01,0.01,-11384.664223919364
13,0.01,0.0,-0.01,0.01,-0.01,-0.01,-11388.713381947226
14,0.01,0.0,-0.01,0.01,-0.01,0.0,-11396.8860249276
15,0.01,0.0,-0.01,0.01,0.0,0.01,-11260.05365956
16,0.01,0.0,-0.01,0.01,0.0,0.0,-11268.998248069445
17,0.01,0.0,-0.01,0.01,0.0,-0.01,-11260.008243070595
18,0.01,0.0,-0.01,0.0,0.0,0.0,-11132.799447974725
19,0.01,0.0,-0.01,0.0,0.0,-0.01,-11119.752272455697
20,0.01,0.0,-0.01,0.0,0.0,0.01,-11119.78200944213
21,0.01,0.0,-0.01,0.0,-0.01,-0.01,-11244.484569120195
22,0.01,0.0,-0.01,0.0,-0.01,0.0,-11258.493634390401
23,0.01,0.0,-0.01,0.0,-0.01,0.01,-11244.501535528836
24,0.01,0.0,-0.01,0.0,0.01,-0.01,-11244.382134699961
25,0.01,0.0,-0.01,0.0,0.01,0.01,-11244.412462026277
26,0.01,0.0,-0.01,0.0,0.01,0.0,-11258.375432562063
27,0.01,0.0,0.0,0.01,0.0,0.0,-8919.78983584032
28,0.01,0.0,0.0,0.01,0.0,0.01,-8918.801405632837
29,0.01,0.0,0.0,0.01,0.0,-0.01,-8918.754752627281
30,0.01,0.0,0.0,0.01,-0.01,0.0,-9073.769357632227
31,0.01,0.0,0.0,0.01,-0.01,0.01,-9055.582805002276
32,0.01,0.0,0.0,0.01,-0.01,-0.01,-9070.363310787025
33,0.01,0.0,0.0,0.01,0.01,0.01,-9070.42083490505
34,0.01,0.0,0.0,0.01,0.01,0.0,-9073.811651494249
35,0.01,0.0,0.0,0.01,0.01,-0.01,-9055.610401662841
36,0.01,0.0,0.0,-0.01,-0.01,-0.01,-9055.533321440356
37,0.01,0.0,0.0,-0.01,-0.01,0.0,-9073.70915572836
38,0.01,0.0,0.0,-0.01,-0.01,0.01,-9070.322929727048
39,0.01,0.0,0.0,-0.01,0.01,-0.01,-9070.32559639805
40,0.01,0.0,0.0,-0.01,0.01,0.01,-9055.568340562499
41,0.01,0.0,0.0,-0.01,0.01,0.0,-9073.736779994895
42,0.01,0.0,0.0,-0.01,0.0,0.01,-8918.726420902081
43,0.01,0.0,0.0,-0.01,0.0,-0.01,-8918.73473153681
44,0.01,0.0,0.0,-0.01,0.0,0.0,-8919.75999135936
45,0.01,0.0,0.0,0.0,0.01,-0.01,-8918.67580166508
46,0.01,0.0,0.0,0.0,0.01,0.01,-8918.695444934025
47,0.01,0.0,0.0,0.0,0.01,0.0,-8924.899833569343
48,0.01,0.0,0.0,0.0,0.0,-0.01,-8768.9271705025
49,0.01,0.0,0.0,0.0,0.0,0.01,-8768.858998858595
50,0.01,0.0,0.0,0.0,0.0,0.0,-8780.133581402688
51,0.01,0.0,0.0,0.0,-0.01,0.0,-8924.986180901025
52,0.01,0.0,0.0,0.0,-0.01,-0.01,-8918.781762247203
53,0.01,0.0,0.0,0.0,-0.01,0.01,-8918.786106455624
54,0.01,0.0,0.01,0.0,0.0,-0.01,-7700.834543851202
55,0.01,0.0,0.01,0.0,0.0,0.0,-7550.240691878642
56,0.01,0.0,0.01,0.0,0.0,0.01,-7700.857711029961
57,0.01,0.0,0.01,0.0,0.01,0.01,-8388.54107426244
58,0.01,0.0,0.01,0.0,0.01,-0.01,-8388.475679858884
59,0.01,0.0,0.01,0.0,0.01,0.0,-8315.383567125626
60,0.01,0.0,0.01,0.0,-0.01,0.01,-8388.764919220399
61,0.01,0.0,0.01,0.0,-0.01,0.0,-8315.372442104897
62,0.01,0.0,0.01,0.0,-0.01,-0.01,-8388.7610724324
63,0.01,0.0,0.01,-0.01,0.0,-0.01,-7750.09079716
64,0.01,0.0,0.01,-0.01,0.0,0.01,-7750.196791180803
65,0.01,0.0,0.01,-0.01,0.0,0.0,-7696.491489122501
66,0.01,0.0,0.01,-0.01,0.01,0.01,-8394.930621813315
67,0.01,0.0,0.01,-0.01,0.01,-0.01,-8507.097474309185
68,0.01,0.0,0.01,-0.01,0.01,0.0,-8388.63229713353
69,0.01,0.0,0.01,-0.01,-0.01,0.01,-8507.169047987858
70,0.01,0.0,0.01,-0.01,-0.01,0.0,-8388.874095095209
71,0.01,0.0,0.01,-0.01,-0.01,-0.01,-8394.960491216289
72,0.01,0.0,0.01,0.01,-0.01,0.0,-8388.913112820099
73,0.01,0.0,0.01,0.01,-0.01,-0.01,-8507.1382417542
74,0.01,0.0,0.01,0.01,-0.01,0.01,-8395.009601761225
75,0.01,0.0,0.01,0.01,0.0,0.01,-7750.057520116922
